Label,Text
1,This movie is fantastic #1
0,This movie is horrible #1
1,I really loved the acting #2
0,I hated every minute of it #2
1,Amazing storyline and great visuals #3
0,The plot was boring #3
1,What a wonderful experience #4
0,Terrible acting and bad script #4
1,Absolutely brilliant film #5
0,What a waste of time #5
1,The product works perfectly #6
0,The product broke after one day #6
1,Great quality and fast delivery #7
0,Very disappointed with the quality #7
1,Excellent performance and reliability #8
0,Poor performance and slow response #8
1,Very satisfied with this purchase #9
0,Customer service was terrible #9
1,The service was outstanding #10
0,I regret buying this #10
1,This movie is fantastic #11
0,This movie is horrible #11
1,I really loved the acting #12
0,I hated every minute of it #12
1,Amazing storyline and great visuals #13
0,The plot was boring #13
1,What a wonderful experience #14
0,Terrible acting and bad script #14
1,Absolutely brilliant film #15
0,What a waste of time #15
1,The product works perfectly #16
0,The product broke after one day #16
1,Great quality and fast delivery #17
0,Very disappointed with the quality #17
1,Excellent performance and reliability #18
0,Poor performance and slow response #18
1,Very satisfied with this purchase #19
0,Customer service was terrible #19
1,The service was outstanding #20
0,I regret buying this #20
1,This movie is fantastic #21
0,This movie is horrible #21
1,I really loved the acting #22
0,I hated every minute of it #22
1,Amazing storyline and great visuals #23
0,The plot was boring #23
1,What a wonderful experience #24
0,Terrible acting and bad script #24
1,Absolutely brilliant film #25
0,What a waste of time #25
1,The product works perfectly #26
0,The product broke after one day #26
1,Great quality and fast delivery #27
0,Very disappointed with the quality #27
1,Excellent performance and reliability #28
0,Poor performance and slow response #28
1,Very satisfied with this purchase #29
0,Customer service was terrible #29
1,The service was outstanding #30
0,I regret buying this #30
1,This movie is fantastic #31
0,This movie is horrible #31
1,I really loved the acting #32
0,I hated every minute of it #32
1,Amazing storyline and great visuals #33
0,The plot was boring #33
1,What a wonderful experience #34
0,Terrible acting and bad script #34
1,Absolutely brilliant film #35
0,What a waste of time #35
1,The product works perfectly #36
0,The product broke after one day #36
1,Great quality and fast delivery #37
0,Very disappointed with the quality #37
1,Excellent performance and reliability #38
0,Poor performance and slow response #38
1,Very satisfied with this purchase #39
0,Customer service was terrible #39
1,The service was outstanding #40
0,I regret buying this #40
1,This movie is fantastic #41
0,This movie is horrible #41
1,I really loved the acting #42
0,I hated every minute of it #42
1,Amazing storyline and great visuals #43
0,The plot was boring #43
1,What a wonderful experience #44
0,Terrible acting and bad script #44
1,Absolutely brilliant film #45
0,What a waste of time #45
1,The product works perfectly #46
0,The product broke after one day #46
1,Great quality and fast delivery #47
0,Very disappointed with the quality #47
1,Excellent performance and reliability #48
0,Poor performance and slow response #48
1,Very satisfied with this purchase #49
0,Customer service was terrible #49
1,The service was outstanding #50
0,I regret buying this #50
1,This movie is fantastic #51
0,This movie is horrible #51
1,I really loved the acting #52
0,I hated every minute of it #52
1,Amazing storyline and great visuals #53
0,The plot was boring #53
1,What a wonderful experience #54
0,Terrible acting and bad script #54
1,Absolutely brilliant film #55
0,What a waste of time #55
1,The product works perfectly #56
0,The product broke after one day #56
1,Great quality and fast delivery #57
0,Very disappointed with the quality #57
1,Excellent performance and reliability #58
0,Poor performance and slow response #58
1,Very satisfied with this purchase #59
0,Customer service was terrible #59
1,The service was outstanding #60
0,I regret buying this #60
1,This movie is fantastic #61
0,This movie is horrible #61
1,I really loved the acting #62
0,I hated every minute of it #62
1,Amazing storyline and great visuals #63
0,The plot was boring #63
1,What a wonderful experience #64
0,Terrible acting and bad script #64
1,Absolutely brilliant film #65
0,What a waste of time #65
1,The product works perfectly #66
0,The product broke after one day #66
1,Great quality and fast delivery #67
0,Very disappointed with the quality #67
1,Excellent performance and reliability #68
0,Poor performance and slow response #68
1,Very satisfied with this purchase #69
0,Customer service was terrible #69
1,The service was outstanding #70
0,I regret buying this #70
1,This movie is fantastic #71
0,This movie is horrible #71
1,I really loved the acting #72
0,I hated every minute of it #72
1,Amazing storyline and great visuals #73
0,The plot was boring #73
1,What a wonderful experience #74
0,Terrible acting and bad script #74
1,Absolutely brilliant film #75
0,What a waste of time #75
1,The product works perfectly #76
0,The product broke after one day #76
1,Great quality and fast delivery #77
0,Very disappointed with the quality #77
1,Excellent performance and reliability #78
0,Poor performance and slow response #78
1,Very satisfied with this purchase #79
0,Customer service was terrible #79
1,The service was outstanding #80
0,I regret buying this #80
1,This movie is fantastic #81
0,This movie is horrible #81
1,I really loved the acting #82
0,I hated every minute of it #82
1,Amazing storyline and great visuals #83
0,The plot was boring #83
1,What a wonderful experience #84
0,Terrible acting and bad script #84
1,Absolutely brilliant film #85
0,What a waste of time #85
1,The product works perfectly #86
0,The product broke after one day #86
1,Great quality and fast delivery #87
0,Very disappointed with the quality #87
1,Excellent performance and reliability #88
0,Poor performance and slow response #88
1,Very satisfied with this purchase #89
0,Customer service was terrible #89
1,The service was outstanding #90
0,I regret buying this #90
1,This movie is fantastic #91
0,This movie is horrible #91
1,I really loved the acting #92
0,I hated every minute of it #92
1,Amazing storyline and great visuals #93
0,The plot was boring #93
1,What a wonderful experience #94
0,Terrible acting and bad script #94
1,Absolutely brilliant film #95
0,What a waste of time #95
1,The product works perfectly #96
0,The product broke after one day #96
1,Great quality and fast delivery #97
0,Very disappointed with the quality #97
1,Excellent performance and reliability #98
0,Poor performance and slow response #98
1,Very satisfied with this purchase #99
0,Customer service was terrible #99
1,The service was outstanding #100
0,I regret buying this #100
